Link,Title,Description
https://epaper.dawn.com,Erdogan says Netanyahu makes Hitler envious with ‘genocidal methods’,
https://www.dawnnews.tv/watch-live,Heroic welcome for hockey team in Lahore after winning silver medal in Azlan Shah Cup,
https://www.dawnnews.tv,Situation in AJK calms down after 2 days of violent clashes,
https://images.dawn.com,IMF mission to meet Pakistani authorities next week to discuss ‘next phase of engagement’: official,
https://herald.dawn.com,"No such thing as strategic state-owned enterprises, says Finance Minister Aurangzeb",
https://aurora.dawn.com,"Fight till the last ball, PCB chief tells cricket team in Dublin",
https://cityfm89.com,Canada arrests fourth Indian national in killing of Sikh activist,
https://www.dawn.com/advertise,Second night of auroras seen amid ‘extreme’ solar storm,
https://educationexpo.dawn.com,ADB links support with IMF’s clean chit,
https://www.dawn.com/events/supplements,Govt hints at raising wheat purchase target,
http://classifieds.dawn.com/,Is PTI Ready to Apologise for May 9th?,
https://obituary.dawn.com,What On Earth Does The Government Want From Us?,
https://www.dawn.com/,How Israel’s Killer Robots In Gaza Are Redefining Automated Warfare?,
https://epaper.dawn.com,Top News Stories: Pakistan’s Lunar Mission,
//www.dawn.com,Why Are Israel And Its Western Allies On The Edge Over ICC Arrest Warrants?,
/latest-news,May 9,
https://www.dawn.com/trends/gaza-invasion,Top News Stories: Modi Aggression In Kashmir,
/pakistan,Americans Are Upset Over US Supporting Violence Against Palestinians,
/opinion,"May 12, 2007 — the day Karachi went berserk",
/business,Mother’s Day: Reflections of a mother,
/world,Concerns that Modi’s rhetoric might incite further violence against Indian Muslims are increasing,
/entertainment,FIFA’s foul on Pakistan football,
/prism,Who can rock the hybrid boat?,
/sport,Looming pension crisis cries out for corrective measures,
/magazines,Smokers’ corner: Khan and the generals,
/tech,Editorial: It is imperative for the state to reconsider its approach to human rights,
/videos,Love knows no boundaries at Karachi’s Edhi Home nursery for special children,
/popular,Documentary on Dr Aafia Siddiqui launched in Karachi,
/newspaper,Sindh’s riverine region in the crosshairs of militia violence,
https://www.dawnrelief.com/,To draw or not to draw,
//www.dawn.com,Pakistan’s moment of youth,
/latest-news,Pakistan’s iCube-Qamar beams back first images from moon’s orbit,
https://www.dawn.com/trends/gaza-invasion,Ruling coalition loses 27 reserved seats in Punjab,
/pakistan,PIA staff forgets to put boy’s body on plane,
/opinion,Downside risks for Pakistan remain exceptionally high: IMF,
/business,Pakistan remain unbeaten in Azlan Shah Cup as match with New Zealand ends in tie,
/prism,Who can rock the hybrid boat?,
/entertainment,Insurgency and social change,
/prism,Indian elections,
/sport,Overflowing cups,
/magazines,The lethal troika,
/tech,A turbulent 2023,
/videos,A moral victory,
/popular,Hope after defeat,
/newspaper,,
/magazines,The lethal troika,
/live/elections-2024#1822566,The net metering dead end,
/live/elections-2024#1822564,An inclusive judiciary,
/live/elections-2024#1822561,Child marriages,
https://www.dawn.com/live/gaza-invasion,Education emergency,
https://www.dawn.com/live/gaza-invasion,Street safety,
https://images.dawn.com,IMF mission to meet Pakistani authorities next week to discuss ‘next phase of engagement’: official,
https://herald.dawn.com,"No such thing as strategic state-owned enterprises, says Finance Minister Aurangzeb",
https://educationexpo.dawn.com,ADB links support with IMF’s clean chit,
https://www.dawn.com/news/1833061/heroic-welcome-for-hockey-team-in-lahore-after-winning-silver-medal-in-azlan-shah-cup,Areas of cooperation with Saudi Arabia identified: PM Shehbaz,
https://www.dawn.com/news/1833061/heroic-welcome-for-hockey-team-in-lahore-after-winning-silver-medal-in-azlan-shah-cup,IMF endorses status quo in SBP’s policy rate,
https://www.dawn.com/news/1833056/situation-in-ajk-calms-down-after-2-days-of-violent-clashes,Exports to Europe fall despite GSP+,
https://www.dawnnews.tv/watch-live,Heroic welcome for hockey team in Lahore after winning silver medal in Azlan Shah Cup,
https://aurora.dawn.com,"Fight till the last ball, PCB chief tells cricket team in Dublin",
/entertainment,FIFA’s foul on Pakistan football,
https://www.dawn.com/news/1833050/no-such-thing-as-strategic-state-owned-enterprises-says-finance-minister-aurangzeb,"Bednarek storms to 200m triumph in Doha, Neeraj Chopra falls short",
https://www.dawn.com/news/1833050/no-such-thing-as-strategic-state-owned-enterprises-says-finance-minister-aurangzeb,Real Madrid eagerly awaits Mbappe after PSG exit confirmed,
https://www.dawn.com/news/1833052/fight-till-the-last-ball-pcb-chief-tells-cricket-team-in-dublin,Djokovic bottle strike overshadows Rome Open cruise past Moutet,
https://www.dawn.com/advertise,Second night of auroras seen amid ‘extreme’ solar storm,
https://cityfm89.com,Canada arrests fourth Indian national in killing of Sikh activist,
https://www.dawn.com/news/1833042/canada-arrests-fourth-indian-national-in-killing-of-sikh-activist,Israel orders Palestinians to evacuate from more areas of Rafah,
https://www.dawn.com/news/1833046/second-night-of-auroras-seen-amid-extreme-solar-storm,UAE hits out at Netanyahu for saying it may help run Gaza,
https://www.dawn.com/news/1833046/second-night-of-auroras-seen-amid-extreme-solar-storm,Washington says use of its weapons by Tel Aviv in Gaza violated law,
https://www.dawn.com/news/1833000/adb-links-support-with-imfs-clean-chit,Delhi CM Kejriwal exhorts Indians to resist ‘dictatorship’,
https://www.dawn.com/news/1833000/adb-links-support-with-imfs-clean-chit,"Men must take the lead in standing up against sexual harassment, says Hamza Ali Abbasi",
https://www.dawn.com/news/1832980/govt-hints-at-raising-wheat-purchase-target,We asked moms what they want for Mother’s Day — no it isn’t kurtas and candles,
https://www.dawn.com/news/1832980/govt-hints-at-raising-wheat-purchase-target,Going loco for local: Jugnu’s Chief Saab candle is the ultimate Karachi kid nostalgia,
/latest-news,Fistula and child marriages: The two epidemics plaguing women in Gilgit-Baltistan,
https://www.youtube.com/c/DawnNewsEnglish,2024 Elections: What’s at stake for India’s minorities?,
https://www.youtube.com/watch?v=UeSr8kxz7kE,From screens to streets: How Gen Z is disrupting the status quo and redefining activism,
https://www.youtube.com/watch?v=UeSr8kxz7kE,"Art group employs brainwaves, AI to  recreate landscapes",
/latest-news,Pakistan’s iCube-Qamar beams back first images from moon’s orbit,
https://www.youtube.com/watch?v=DLnFKstpqSM,"People with two copies of a risk gene have genetic form of Alzheimer’s, say scientists",
https://www.youtube.com/watch?v=ax6GtKBV4o4,FIFA’S FOUL ON PAKISTAN FOOTBALL,
https://www.youtube.com/watch?v=ax6GtKBV4o4,ESSAY: WE’RE READY FOR YOUR CLOSE-UP NOW,
https://www.youtube.com/watch?v=6Y6pv4dgwok,FOOTBALL: GIRLS KICKING MOUNTAINS,
https://www.youtube.com/watch?v=6Y6pv4dgwok,STYLE; ALL ABOUT MY MOTHER,
https://www.youtube.com/watch?v=368pk1LtbvY,"SOUNDSCAPE: AND NOW, AI MUSIC",
https://www.youtube.com/watch?v=368pk1LtbvY,THE GRAPEVINE,
https://www.youtube.com/watch?v=ZKNxVl6yFyc,Packaging film sector on the rise,
https://www.youtube.com/watch?v=ZKNxVl6yFyc,Tax reforms — easier than expected,
https://www.youtube.com/watch?v=1j9DKEupIUY,Wheat’s tricky procurement,
https://www.youtube.com/watch?v=1j9DKEupIUY,Echoes of love,
https://www.youtube.com/watch?v=2FbxyFxRHdM,Mailbox,
https://www.youtube.com/watch?v=2FbxyFxRHdM,Mother’s Day: A letter to my mum,
/must-read,Challenges working mothers face in the corporate sector,
https://www.dawn.com/news/1332592,"Samiya Mumtaz: “To act commercially felt like I was selling my soul to earn, but I put myself out there.”",
https://www.dawn.com/news/1332592,How digitisation can affect agri-financing,
https://www.dawn.com/news/1555087/mothers-day-reflections-of-a-mother,State Grid Anhui Electric Power Research Institute uses digital tools to prevent floods,
https://www.dawn.com/news/1555087/mothers-day-reflections-of-a-mother,2024 Zambia-China Culture and Tourism Year kicks off in Beijing,
https://www.dawn.com/news/1832981,Onus on US to stop Gaza conflict and grant Palestine full UN membership,
https://www.dawn.com/news/1555087/mothers-day-reflections-of-a-mother,State Grid Anhui Electric Power Research Institute uses digital tools to prevent floods,
https://www.dawn.com/news/1555087/mothers-day-reflections-of-a-mother,2024 Zambia-China Culture and Tourism Year kicks off in Beijing,
https://www.dawn.com/news/1832981,Onus on US to stop Gaza conflict and grant Palestine full UN membership,
